company,fiscal_period,revenue_growth_pct,gross_margin_pct,ebitda_margin_pct,net_margin_pct,fcf_margin_pct,debt_to_equity,current_ratio,source,notes
Salesforce,FY2025 (Jan),9.6,76.0,34.2,16.4,31.0,0.21,1.07,10-K FY2025,GAAP margins; FCF excludes SBC
ServiceNow,FY2024 (Dec),23.5,79.0,30.1,9.5,29.0,0.32,1.12,10-K FY2024,GAAP net margin; non-GAAP OM ~36%
Workday,FY2025 (Jan),16.7,75.7,25.3,4.5,25.0,0.38,1.23,10-K FY2025,Subscription revenue 91% of total
Snowflake,FY2025 (Jan),29.0,68.0,5.8,-12.2,28.0,0.00,2.55,10-K FY2025,Consumption-based model; negative GAAP NI
Datadog,FY2024 (Dec),26.0,81.5,24.8,8.2,29.0,0.08,2.48,10-K FY2024,High gross margin; SBC ~18% of revenue
Atlassian,FY2024 (Jun),23.0,82.0,17.2,-5.2,24.0,0.25,1.40,10-K FY2024,GAAP net loss due to SBC; cloud transition
CrowdStrike,FY2025 (Jan),31.0,75.5,20.8,3.2,27.0,0.12,1.80,10-K FY2025,ARR $4.2B; high growth cybersecurity
MongoDB,FY2025 (Jan),19.0,72.0,2.9,-15.5,5.0,0.15,2.10,10-K FY2025,Consumption model; GAAP loss from SBC
HubSpot,FY2024 (Dec),22.0,84.0,19.5,-3.8,17.0,0.18,1.35,10-K FY2024,High gross margin; GAAP loss from SBC
Zoom,FY2025 (Jan),2.7,76.2,19.8,11.5,30.0,0.00,3.50,10-K FY2025,Near-zero growth; strong FCF; cash-rich
